ID Item;REF;DESCRPCION;Unidad
352;5718                                              ;"ARANDELA PLANA GALV.1/4""Ø.";UND 
354;969                                               ;"ARANDELA PLANA GALV.3/16""Ø.";UND 
11;809                                               ;"ARANDELA PLANA GALV.3/8"".";UND 
12;64                                                ;"ARANDELA PLANA GALV.5/16"".";UND 
357;65                                                ;"ARANDELA PLANA GALV.5/8"" Ø.";UND 
1323;20170                                             ;EMPAQUES CIL.NEUM. KNAAPPCO 10002 HEIL.;UND 
13492;0013492                                           ;"ARANDELA PLANA GALV.9/16""Ø.REDUCIDA";UND 
4472;15754                                             ;"ARANDELA PLANA REDUCIDA GALV. 5/16"".";UND 
5842;05842                                             ;"ARANDELA PUNTA EJE K30 3_1/8""Ø";UND 
364;19242                                             ;"ARANDELA SEGURIDAD 1/2"" DISC LOCK.PAR";UND 
365;19247                                             ;"ARANDELA SEGURIDAD 3/4"" DISC LOCK.PAR";UND 
368;19272                                             ;"ARANDELA SEGURIDAD 5/8"" DISC LOCK.PAR";UND 
369;20718                                             ;"ARANDELA SEGURIDAD 7/8"" DISC LOCK.PAR";UND 
1966;01172                                             ;"ARANDELA SEGURIDAD P/EJE 3_1/2""Ø";UND 
370;22073                                             ;ARANDELA SEGURIDAD.REF:2302.TAB LOCK.;UND 
14492;No 10000783 PREMIER                               ;ARGOLLA DE TIRO 245DB-3 PREMIER.;UND 
336;24818                                             ;ARANDELA ESPACIADORA TOPE S-26824 HENDRI;UND 
9166;0009166                                           ;ARGOLLA DE TIRO 307K PREMIER.;UND 
375;20495                                             ;ARGOLLA DE TIRO 307S PREMIER.;UND 
376;3599                                              ;ARGOLLA DE TIRO 407 SE -PREMIER-.;UND 
377;907                                               ;ARGOLLA DE TIRO 40A-65x55 ROE57268 JOST;UND 
14491;No 10000791 PREMIER                               ;ARGOLLA DE TIRO ATORN. 300 HD PREMIER;UND 
2301;15390                                             ;ARGOLLA DE TIRO ATORNILLABL 200L PREMIER;UND 
8822;0008822                                           ;ARGOLLA DE TIRO ATORNILLABLE 300 PREMIER;UND 
8682;0008682                                           ;ARGOLLA TIRO+BUJES 307BK PREMIER(KIT);UND 
378;S-20924 HENDRICKSON-SAMPA REF:105.445             ;ARO CONCENTRICO ALINEACION 105.445 SAMPA;UND 
379;14986                                             ;ARO DENTADO 3237 J 1050 PARA ABS.;UND 
